a	A
enforcers	penegak hukum
enforces	menegakkan
enforcing	menegakkan
enfranchise	membebaskan
enfranchised	diberi hak pilih
enfranchisement	pembebasan
eng	bahasa Inggris
engage	melibatkan
engaged	bertunangan
engagement	pertunangan
engagements	keterlibatan
engager	pengaktif
engages	terlibat
engaging	menarik
engagingly	menarik
engender	menimbulkan
engendered	dihasilkan
engendering	melahirkan
engenders	menimbulkan
engin	mesin
engine	mesin
engined	bermesin
engineer	insinyur
engineered	direkayasa
engineering	rekayasa
engineers	insinyur
engines	mesin
english	bahasa inggris
engorged	membengkak
engorgement	pembengkakan
engr	insinyur
engraft	menanamkan
engrafted	dicangkokkan
engram	engram
engrams	engram
engrave	mengukir
engraved	berukir
engraver	pengukir
engravers	pengukir
engraving	ukiran
engravings	ukiran
engross	memikat
engrossed	asyik
engrossing	yg mengasyikkan
engrossment	keterlibatan
engulf	menelan
engulfed	dilalap api
engulfing	menelan
engulfment	penelanan
engulfs	menelan
enhance	meningkatkan
enhanced	ditingkatkan
enhancement	peningkatan
enhancements	peningkatan
enhancer	penambah
enhancers	penambah
enhances	meningkatkan
enhancing	meningkatkan
enharmonic	enharmonik
enigma	teka-teki
enigmas	teka-teki
enigmatic	misterius
enigmatical	penuh teka-teki
enigmatically	secara misterius
enjoin	memerintahkan
enjoined	diperintahkan
enjoining	memerintahkan
enjoins	memerintahkan
enjoy	menikmati
enjoyable	menyenangkan
enjoyably	dengan menyenangkan
enjoyed	menikmati
enjoying	menikmati
enjoyment	kenikmatan
enjoyments	kenikmatan
enjoys	menikmati
enkindled	menyala
enl	enl
enlace	melingkari
enlaces	tautan
enlarge	memperbesar
enlarged	diperbesar
enlargement	pembesaran
enlargements	pembesaran
enlarger	pembesar
enlargers	pembesar
enlarges	memperbesar
enlarging	memperbesar
enlighten	mencerahkan
enlightened	tercerahkan
enlightening	mencerahkan
enlightenment	pencerahan
enlightens	mencerahkan
enlist	mendapatkan
enlisted	tamtama
enlistees	wajib militer
enlisting	mendaftar
enlistment	pendaftaran
enlistments	pendaftaran
enlists	mendaftar
enliven	memeriahkan
enlivened	dihidupkan
enlivening	menghidupkan
enlivens	menghidupkan
enmeshed	terjerat
enmities	permusuhan
enmity	permusuhan
ennoble	memuliakan
ennobled	dimuliakan
ennobles	memuliakan
ennobling	memuliakan
ennui	perasaan bosan
enol	enol
enology	enologi
enormities	keburukan
enormity	besarnya
enormous	sangat besar
enormously	sangat besar
enough	cukup
enow	cukup
enplaned	naik pesawat
enqueue	antrekan
enqueued	antre
enquirer	penanya
enquirers	penanya
enrage	memanaskan
enraged	sangat marah
enrages	membuat marah
enraging	membuat marah
enraptured	terpesona
enrich	memperkaya
enriched	diperkaya
enriches	memperkaya
enriching	memperkaya
enrichment	penyuburan
enroll	mendaftar
enrolled	terdaftar
enrollee	peserta
enrollees	peserta
enrolling	mendaftar
enrollment	pendaftaran
enrollments	pendaftaran
enrolls	mendaftar
ens	ens
ensconced	bersarang
ensemble	ansambel
ensembles	ansambel
enshrine	mengabadikan
enshrined	diabadikan
enshrinement	percandian
enshrines	mengabadikan
enshrining	mengabadikan
enshrouded	diselimuti
ensign	bendera
ensigns	panji-panji
enslave	memperbudak
enslaved	diperbudak
enslavement	perbudakan
enslaves	memperbudak
enslaving	pembudakan
ensnare	menjerat
ensnared	terjerat
ensnares	menjerat
ensnaring	menjebak
enstatite	enstatit
ensue	terjadi
ensued	kemudian terjadi
ensues	terjadilah
ensuing	berikut
ensure	memastikan
ensured	dipastikan
ensures	memastikan
ensuring	memastikan
entablature	entablatur
entail	memerlukan
entailed	mengandung
entailing	yang mencakup
entailment	implikasi
entails	mencakup
entangle	melibatkan
entangled	terjerat
entanglement	belitan
entanglements	keterikatan
entangles	menjerat
entangling	menjerat
entelechy	enteleki
entente	persetujuan antara dua negara
enter	memasuki
enteral	enteral
entered	masuk
enteric	enterik
entering	memasuki
enteritis	radang usus
enterovirus	enterovirus
enteroviruses	enterovirus
enterprise	perusahaan
enterprisers	pengusaha
enterprises	perusahaan
enterprising	giat
enters	masuk
entertain	menghibur
entertained	terhibur
entertainer	penghibur
entertainers	penghibur
entertaining	menghibur
entertainingly	menghibur
entertainment	hiburan
entertainments	hiburan
entertains	menghibur
enthalpies	entalpi
enthalpy	entalpi
enthrall	memikat
enthralled	terpesona
enthralling	mempesona
enthralls	mempesona
enthroned	bertahta
enthronement	penobatan
enthuse	menimbulkan rasa antusias
enthused	antusias
enthuses	antusias
enthusiasm	antusiasme
enthusiasms	antusiasme
enthusiast	penggemar
enthusiastic	antusias
enthusiastically	dengan antusias
enthusiasts	penggemar
enthusing	antusias
enthymeme	enthymeme
entice	menarik
enticed	tergoda
enticement	daya tarik
enticements	godaan
enticer	penarik
entices	memikat
enticing	menarik
enticingly	sangat menarik
entire	seluruh
entirely	sepenuhnya
entirety	keseluruhan
entities	entitas
entitle	berhak
entitled	berhak
entitlement	hak
entitlements	hak
entitles	berhak
entitling	memberi hak
entity	kesatuan
entoderm	entoderm
entombed	terkubur
entombment	penguburan
entomol	entomol
entomological	berhubung dgn serangga
entomologist	ahli ilmu serangga
entomologists	ahli serangga
entomology	ilmu serangga
entourage	rombongan
entrails	isi perut
entrain	naik kereta api
entrained	naik kereta
entraining	naik kereta api
entrainment	pengaktifan
entrance	pintu masuk
entranced	terpesona
entrances	pintu masuk
entranceway	pintu masuk
entrancing	mempesona
entrant	peserta
entrants	peserta
entrap	memikat
entrapment	jebakan
entrapped	terperangkap
entrapping	menjebak
entreat	memohon
entreated	memohon
entreaties	permohonan
entreating	memohon
entreats	memohon
entreaty	permintaan yg sangat mendesak
entree	hidangan utama
entrees	hidangan utama
entrench	berkubu
entrenched	berakar
entrenches	parit
entrenching	memperkuat
entrenchment	kubu
entrenchments	parit
entrepot	pusat pergudangan
entrepreneur	pengusaha
entrepreneurial	kewirausahaan
entrepreneurialism	kewirausahaan
entrepreneurism	kewirausahaan
entrepreneurs	pengusaha
entrepreneurship	kewiraswastaan
entries	entri
entropic	entropi
entropy	entropi
entrust	mempercayakan
entrusted	dipercayakan
entrusting	mempercayakan
entrusts	mempercayakan
entry	pintu masuk
entryway	jalan masuk
entryways	pintu masuk
entwine	membelitkan
entwined	terjalin
entwining	terjalin
enumerable	dapat dihitung
enumerate	menghitung
enumerated	dihitung
enumerates	menghitung
enumerating	menghitung
enumeration	enumerasi
enumerations	enumerasi
enumerative	enumeratif
enumerator	enumerator
enumerators	petugas sensus
enunciate	melafalkan
enunciated	diucapkan
enunciates	mengucapkan
enunciating	mengucapkan
enunciation	lafal
enure	enure
enuresis	enuresis
envelop	menyelimuti
envelope	amplop
enveloped	terbungkus
envelopes	amplop
enveloping	menyelimuti
envelopment	balutan
envelops	amplop
envenomed	beracun
enviable	patut dic羡慕
envied	iri hati
envies	iri hati
envious	iri
enviously	dengan iri hati
environ	mengepung
environed	dikelilingi
environing	lingkungan
environment	lingkungan
environmental	lingkungan
environmentalism	lingkungan hidup
environmentalist	aktivis lingkungan
environmentalists	aktivis lingkungan
environmentally	lingkungan
environments	lingkungan
environs	lingkungan sekitar
envisage	membayangkan
envisaged	dibayangkan
envisages	membayangkan
envisaging	membayangkan
envision	membayangkan
envisioned	dibayangkan
envisioning	membayangkan
envisions	membayangkan
envoi	kiriman
envoy	utusan
envoys	utusan
envy	iri
envying	iri hati
enzootic	enzootik
enzymatic	enzimatik
enzymatically	secara enzimatik
enzyme	enzim
enzymes	enzim
enzymic	enzimatik
enzymology	enzimologi
eolian	angin
eon	keabadian
eons	zaman
eosin	eosin
eosinophil	eosinofil
eosinophilic	eosinofilik
eosinophils	eosinofil
epact	epact
eparchy	keuskupan
epaulets	epaulet
epee	pedang
epenthesis	epentesis
ephah	ephah
ephedrine	efedrin
ephemera	sesuatu yg tdk kekal
ephemeral	tdk kekal
ephemerids	efemerida
ephemeris	efemeris
ephod	efod
epiblast	epiblast
epic	epik
epicenter	pusat gempa
epicenters	pusat gempa
epicentral	pusat
epics	epik
epicure	Epikur
epicurean	penggemar makanan dan minuman
epicureans	kaum epikurean
epicycle	epikikel
epicycles	epikikel
epideictic	epidemi
epidemic	epidemi
epidemics	epidemi
epidemiological	epidemiologi
epidemiologist	ahli epidemiologi
epidemiologists	ahli epidemiologi
epidemiology	epidemiologi
epidermal	epidermis
epidermis	kulit ari
epidermoid	epidermoid
epididymis	epididimis
epidote	epidot
epidural	epidural
epidurals	epidural
epigastrium	Ulu hati
epigenesis	epigenesis
epiglottis	katup nafas
epigram	epigram
epigrammatic	berkenaan dgn epigram
epigrams	epigram
epigraph	prasasti
epigraphic	epigrafis
epigraphical	epigrafis
epigraphs	epigraf
epigraphy	epigrafi
epilepsy	epilepsi
epileptic	epilepsi
epileptics	penderita epilepsi
epilimnion	epilimnion
epilogue	epilog
epinephrine	epinefrin
epiphanies	pencerahan
epiphany	pencerahan
epiphenomenon	epifenomena
epiphyses	epifisis
epiphysis	epifisis
epiphyte	benalu
epiphytes	epifit
epiphytic	epifit
episcopacy	keuskupan
episcopal	episkopal
episcopalian	episkopal
episcopate	keuskupan
episiotomy	episiotomi
episode	episode
episodes	episode
episodic	episodik
episodically	secara episodik
epistasis	epistasis
epistaxis	mimisan
epistemic	epistemik
epistemically	secara epistemik
epistemological	epistemologis
epistemologically	secara epistemologis
epistemologies	epistemologi
epistemology	epistemologi
epistle	surat
epistles	surat-surat
epistolary	berkenaan dgn tulisan
epitaph	tulisan di batu nisan
epitaphs	epitaf
epitaxial	epitaksial
epitaxy	epitaksi
epithelial	epitel
epithelioma	epitelioma
epithelium	epitel
epithet	julukan
epithets	julukan
epitome	lambang
epitomize	melambangkan
epitomized	dilambangkan
epitomizes	melambangkan
epizootic	wabah
epoch	masa
epochal	dr jaman yg penting
epochs	zaman
eponym	nama eponim
eponymous	eponim
eponyms	nama-nama yang diambil dari nama orang
epos	epos
epoxied	dilapisi epoksi
epoxies	epoksi
epoxy	epoksi
epsilon	epsilon
eq	persamaan
equable	tenang
equal	setara
equaled	sama dengan
equaling	sama dengan
equalitarian	egaliter
equalities	kesetaraan
equality	persamaan
equalization	hal menyamakan
equalize	menyamakan
equalized	disamakan
equalizer	penyeimbang
equalizers	penyeimbang
equalizes	menyamakan
equalizing	menyamakan
equally	sama
equals	sama dengan
equanimity	ketenangan
equate	menyamakan
equated	disamakan
equates	menyamakan
equating	menyamakan
equation	persamaan
equations	persamaan
equator	khatulistiwa
equatorial	khatulistiwa
equerry	equerry
equestrian	penunggang kuda
equestrianism	olahraga berkuda
equestrians	penunggang kuda
equidistance	jarak yang sama
equidistant	sama jauh
equilateral	sama sisi
equilibrate	menyetimbangkan
equilibrated	seimbang
equilibrating	menyeimbangkan
equilibration	imbang
equilibrium	keseimbangan
equine	kuda
equines	kuda
equinoctial	ekuinoks
equinox	ekuinoks
equinoxes	ekuinoks
equip	melengkapi
equipage	perlengkapan
equipages	perlengkapan
equipment	peralatan
equipments	peralatan
equipoise	imbang
equipotential	ekipotensial
equipped	lengkap
equipping	melengkapi
equiprobable	sama kemungkinannya
equips	perlengkapan
equisetum	equisetum
equitable	adil
equitably	secara adil
equitation	keahlian penunggangan kuda
equites	kuda
equities	ekuitas
equity	ekuitas
equiv	setara
equivalence	persamaan derajatnya
equivalences	kesetaraan
equivalencies	kesetaraan
equivalency	kesetaraan
equivalent	setara
equivalently	setara dengan
equivalents	setara
equivocal	samar
equivocate	berdalih
equivocation	pengelakan
er	er
era	era
eradicate	membasmi
eradicated	diberantas
eradicates	memberantas
eradicating	memberantas
eradication	pemberantasan
eradicator	pembasmi
eras	era
erasable	dapat dihapus
erase	menghapus
erased	dihapus
eraser	penghapus
erasers	penghapus
erases	menghapus
erasing	menghapus
erasure	penghapusan
erasures	penghapusan
erbium	erbium
ere	sebelum
erect	tegak
erected	didirikan
erectile	ereksi
erecting	mendirikan
erection	pemasangan
erections	ereksi
erector	pembina
erectors	pemasang
erects	mendirikan
erg	erg
ergative	ergatif
ergo	jadi
ergocalciferol	ergokalsiferol
ergodic	ergodik
ergonomic	ergonomis
ergonomically	ergonomis
ergonomics	ergonomi
ergonomist	ahli ergonomi
ergosterol	ergosterol
ergot	ergot
ergs	erg
erigeron	erigeron
erk	erk
ermine	cerpelai
erne	erne
erode	mengikis
eroded	terkikis
erodes	mengikis
erodible	mudah terkikis
eroding	mengikis
erogenous	erotis
erosion	erosi
erosional	erosi
erosive	yg menyebabkan longsor
erotic	erotis
erotica	erotika
erotically	secara erotis
eroticism	erotik
erotics	erotis
err	berbuat salah
errand	tugas
errands	tugas
errant	sesat
errantry	pengembaraan
errata	ralat
erratic	tak menentu
erratically	secara tidak menentu
erratum	ralat
erred	salah
erring	berdosa
erroneous	salah
erroneously	secara keliru
error	kesalahan
errorless	tanpa kesalahan
errors	kesalahan
errs	kesalahan
ersatz	tiruan
erst	dahulu kala
erstwhile	dahulu
ert	ert
erudite	terpelajar
erudition	pengetahuan
erupt	meletus
erupted	meletus
erupting	meletus
eruption	letusan
eruptions	letusan
eruptive	meletus
erupts	meletus
erysipelas	api luka
erythema	eritema
erythritol	eritritol
erythroblastosis	eritroblastosis
erythrocyte	eritrosit
erythrocytes	eritrosit
erythrocytic	eritrosit
erythromycin	eritromisin
erythropoiesis	eritropoiesis
es	es
escalade	eskalasi
escalate	meningkatkan
escalated	meningkat
escalates	meningkat
escalating	meningkat
escalation	eskalasi
escalations	eskalasi
escalator	eskalator
escalators	eskalator
escapade	petualangan
escapades	petualangan
escape	melarikan diri
escaped	melarikan diri
escapee	pelolos
escapees	pelarian
escapement	pelarian
escapements	mekanisme pelepasan
escaper	pelarian
escapes	melarikan diri
escaping	melarikan diri
escapism	pelarian dr kenyataan
escapist	yg lari dr kenyataan
escapology	ilmu melarikan diri
escargot	siput
escargots	siput
escarole	escarole
escarpment	lereng curam
escarpments	lereng curam
eschar	kerak
eschatological	eskatologis
eschatology	eskatologi
escheat	harta tak bertuan
eschew	menjauhkan diri
eschewed	menghindari
eschewing	menghindari
eschews	menghindari
escolar	sekolah
escort	pengawal
escorted	dikawal
escorting	mengawal
escorts	pengawal
escribe	menulis
escrow	rekening penampungan
escrows	rekening penampungan
escudo	escudo
escudos	escudos
escutcheon	perisai yg berlukiskan lambang
escutcheons	perisai
esker	esker
esophageal	esofagus
esophagitis	esofagitis
esophagus	kerongkongan
esoteric	esoterik
esoterica	esoterika
esoterically	secara esoteris
esotericism	esoterisme
esotropia	esotropia
esp	terutama
espadrille	espadrille
espadrilles	espadrilles
espagnole	bahasa Spanyol
espalier	teralis
esparto	esparto
especial	khusus
especially	khususnya
esperance	harapan
espial	mata-mata
espied	memata-matai
espionage	spionase
esplanade	lapangan terbuka
espousal	pendukung
espouse	mendukung
espoused	bertunangan
espouses	mendukung
espousing	mendukung
espresso	espresso
espressos	espresso
esprit	semangat
espy	tampak dr jauh
esquire	tuan yg terhormat
esquires	membutuhkan
essay	karangan
essayed	menulis esai
essayer	mencoba
essayist	eseis
essayists	penulis esai
essays	esai
esse	esse
essence	esensi
essences	esensi
essential	penting
essentialism	esensialisme
essentialist	esensialis
essentiality	esensialitas
essentially	pada dasarnya
essentials	hal-hal penting
est	est
establish	mendirikan
established	didirikan
establishes	menetapkan
establishing	mendirikan
establishment	pembentukan
establishments	tempat usaha
estancia	peternakan
estate	perkebunan
estates	perkebunan
esteem	menghargai
esteemed	terhormat
esteeming	menghargai
esteems	menghargai
ester	ester
esterase	esterase
esterified	teresterifikasi
esters	ester
esthetic	estetika
esthetician	ahli kecantikan
estheticians	ahli kecantikan
esthetics	estetika
estimable	patut dihargai
estimate	memperkirakan
estimated	diperkirakan
estimates	perkiraan
estimating	memperkirakan
estimation	perkiraan
estimations	perkiraan
estimator	penaksir
estimators	estimator
estop	berhenti
estoppel	estoppel
estradiol	estradiol
estragon	estragon
estrange	menjauhkan
estranged	terasing
estrangement	pengasingan
estrin	estrin
estriol	estriol
estrogen	estrogen
estrogenic	estrogenik
estrogens	estrogen
estrone	estron
estrous	estrus
estrus	estrus
estuaries	muara sungai
estuarine	muara
estuary	muara
et	dan
eta	eta
etagere	rak
etageres	rak
etalon	etalon
etas	etas
etc	dll.
etch	mengetsa
etched	terukir
etcher	penggores
etchers	pengukir
etches	ukiran
etching	etsa
etchings	ukiran
eternal	abadi
eternally	selalu
eternities	keabadian
eternity	keabadian
ethane	etana
ethanol	etanol
ethene	etena
ether	eter
ethereal	sangat halus
ethic	etika
ethical	etis
ethically	secara etis
ethicist	ahli etika
ethics	etika
ethmoid	etmoid
ethnic	etnis
ethnically	etnis
ethnicity	etnisitas
ethnics	etnis
ethnocentric	etnosentris
ethnocentrism	sukuisme
ethnographer	ahli etnografi
ethnographers	etnograf
ethnographic	etnografi
ethnographical	etnografi
ethnographies	etnografi
ethnography	etnografi
ethnological	etnologis
ethnologist	ahli etnologi
ethnologists	ahli etnologi
ethnology	etnologi
ethnomusicology	etnomusikologi
ethological	etologis
ethologists	ahli etologi
ethology	etologi
ethos	jiwa khas suatu bangsa
ethyl	etil
ethylene	etilena
etiolated	etiolasi
etiologic	etiologi
etiological	etiologis
etiologies	etiologi
etiology	etiologi
etiquette	etiket
etna	etna
etude	etude
etudes	etude
etui	etui
etymological	etimologis
etymologically	secara etimologis
etymologies	etimologi
